correlation_id,execution_id,train_percentage,noise,label_noise,is_bayesian,beta,loss_training,loss_testing,duration,end_condition,n_parameters,n_nodes,n_connections,n_layers,mean_genome_std,accuracy,precision,recall,f1,ece,absolute_best,dataset,Version
bayesian_neat_ft_final_v1_wine,8f207809-02b2-4d7b-8176-798c9ea8852d,0.75,0.0,0.0,True,8e-05,0.6735162734985352,0.7053734660148621,0:16:35.472704,normal,162,16,65,6,0.4083062780811422,95.55555555555556,0.960233918128655,0.9555555555555556,0.9554012345679013,0.04895825292018277,False,wine,Without Fine-Tuning
bayesian_neat_ft_final_v1_wine,8f207809-02b2-4d7b-8176-798c9ea8852d,0.75,0.0,0.0,True,8e-05,0.6434824466705322,0.7447875142097473,0:16:35.472704,normal,162,16,65,6,0.625901970578774,91.11111111111111,0.918148148148148,0.9111111111111111,0.9105069355069355,0.05653656809878202,True,wine,With Fine-Tuning
bayesian_neat_ft_final_v1_wine,edb10445-8639-47ab-bc8d-e380ab88d3d4,0.75,0.0,0.0,True,8e-05,0.6500637531280518,0.6600210070610046,0:33:12.769018,normal,174,18,69,12,0.3702943914653889,97.77777777777777,0.9794871794871796,0.9777777777777777,0.9779638242894058,0.02963230211771531,False,wine,Without Fine-Tuning
bayesian_neat_ft_final_v1_wine,edb10445-8639-47ab-bc8d-e380ab88d3d4,0.75,0.0,0.0,True,8e-05,0.6251736879348755,0.7621800303459167,0:33:12.769018,normal,192,21,75,13,0.776129221086585,97.77777777777777,0.9794871794871796,0.9777777777777777,0.9779638242894058,0.08877571795089743,True,wine,With Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,65ce8221-f1f9-4ddd-bf09-e427c07b0e94,0.75,0.0,0.0,True,5e-05,0.3949024975299835,0.4083256125450134,0:16:29.741793,normal,100,10,40,5,0.3017176894120778,95.1048951048951,0.9509639207752416,0.951048951048951,0.95095694260316,0.02634322990565341,False,breast_cancer,Without Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,65ce8221-f1f9-4ddd-bf09-e427c07b0e94,0.75,0.0,0.0,True,5e-05,0.37002795934677124,0.4165183901786804,0:16:29.741793,normal,112,12,44,6,0.4322389129860296,95.8041958041958,0.958041958041958,0.958041958041958,0.958041958041958,0.031566447078793206,True,breast_cancer,With Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,b37403a7-d65e-46ca-b5b7-2849933cede0,0.75,0.0,0.0,True,5e-05,0.38870829343795776,0.40565377473831177,0:37:48.771698,normal,172,22,64,17,0.4350053756376566,95.1048951048951,0.9527202357391037,0.951048951048951,0.9506457506457505,0.04860354024768659,False,breast_cancer,Without Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,b37403a7-d65e-46ca-b5b7-2849933cede0,0.75,0.0,0.0,True,5e-05,0.38001981377601624,0.39661863446235657,0:37:48.771698,normal,172,22,64,17,0.6262727369047505,96.5034965034965,0.9656071201525748,0.965034965034965,0.9648739924457351,0.030658253129910346,True,breast_cancer,With Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,b8db2079-7bc4-42b4-b3e1-541d8a78f6ca,0.75,0.0,0.0,True,5e-05,0.385761559009552,0.3902418613433838,0:26:47.838787,normal,144,18,54,12,0.4498638852481894,97.9020979020979,0.9792071659996189,0.9790209790209791,0.9790629260242518,0.022574600317635887,False,breast_cancer,Without Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,b8db2079-7bc4-42b4-b3e1-541d8a78f6ca,0.75,0.0,0.0,True,5e-05,0.3694733679294586,0.3913120925426483,0:26:47.838787,normal,144,18,54,12,0.5106258220745273,97.2027972027972,0.9721994134897362,0.972027972027972,0.9719057583507712,0.006568140696610862,True,breast_cancer,With Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,d7997198-80bc-4d58-99f1-079418fb89aa,0.75,0.0,0.0,True,5e-05,0.3869979977607727,0.4007411003112793,0:27:35.179101,normal,164,19,63,13,0.5797684089591548,95.8041958041958,0.9588600646665163,0.958041958041958,0.9582469202529993,0.028908146675386517,False,breast_cancer,Without Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,d7997198-80bc-4d58-99f1-079418fb89aa,0.75,0.0,0.0,True,5e-05,0.3747060000896454,0.3995322585105896,0:27:35.179101,normal,164,19,63,13,0.6947861955624118,96.5034965034965,0.9653143209374212,0.965034965034965,0.96512269708146,0.03026538939825117,True,breast_cancer,With Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,db95ce97-ba83-4865-b73b-dd46c6cc684a,0.75,0.0,0.0,True,5e-05,0.3775975704193115,0.38879022002220154,0:36:08.928346,normal,132,15,51,11,0.5938433902496604,96.5034965034965,0.9652574698029244,0.965034965034965,0.9650965838184001,0.03681157118010407,False,breast_cancer,Without Fine-Tuning
bayesian_neat_ft_final_v1_breast_cancer,db95ce97-ba83-4865-b73b-dd46c6cc684a,0.75,0.0,0.0,True,5e-05,0.35378557443618774,0.39226093888282776,0:36:08.928346,normal,132,15,51,11,0.9734836185853475,95.8041958041958,0.9587194414780622,0.958041958041958,0.9581849968213604,0.053129944660684436,True,breast_cancer,With Fine-Tuning
bayesian_neat_ft_final_v1_titanic,9d77944a-7bad-4686-a0b7-fea2ff199441,0.75,0.0,0.0,True,0.0001,0.5325954556465149,0.5513882040977478,0:20:53.093517,normal,100,14,36,12,0.6306058904225808,76.33587786259542,0.7760533443927474,0.7633587786259542,0.7533788486971855,0.13906315968667535,False,titanic,Without Fine-Tuning
bayesian_neat_ft_final_v1_titanic,9d77944a-7bad-4686-a0b7-fea2ff199441,0.75,0.0,0.0,True,0.0001,0.4836779832839966,0.5457991361618042,0:20:53.093517,normal,100,14,36,12,0.6371476378309093,76.7175572519084,0.7792824052366036,0.767175572519084,0.7577802252520266,0.1284195653246309,True,titanic,With Fine-Tuning
bayesian_neat_ft_final_v1_titanic,afc6cb7d-c3b5-4d00-a70b-765a1b8cd0d4,0.75,0.0,0.0,True,0.0001,0.5235161781311035,0.5546363592147827,0:16:01.485940,normal,76,10,28,7,0.4717305959738085,78.2442748091603,0.7854260981569526,0.7824427480916031,0.778613390345307,0.11554112346765497,False,titanic,Without Fine-Tuning
bayesian_neat_ft_final_v1_titanic,afc6cb7d-c3b5-4d00-a70b-765a1b8cd0d4,0.75,0.0,0.0,True,0.0001,0.4937979578971863,0.5589433312416077,0:16:01.485940,normal,82,11,30,7,0.9036393013132862,78.62595419847328,0.7927275519075994,0.7862595419847328,0.7811332411037321,0.08716073215492304,True,titanic,With Fine-Tuning
bayesian_neat_ft_final_v1_titanic,d9f86711-14fd-4531-ba59-3b9e352b2aa3,0.75,0.0,0.0,True,0.0001,0.534744918346405,0.5044215321540833,0:12:35.171105,normal,70,9,26,8,0.5075894551687438,82.06106870229007,0.8194862769506667,0.8206106870229007,0.8197369702298929,0.10618252991962703,False,titanic,Without Fine-Tuning
bayesian_neat_ft_final_v1_titanic,d9f86711-14fd-4531-ba59-3b9e352b2aa3,0.75,0.0,0.0,True,0.0001,0.5096526145935059,0.5028634667396545,0:12:35.171105,normal,76,10,28,7,0.8919702162708025,82.44274809160305,0.8232463247496145,0.8244274809160306,0.8225626056742764,0.09788017180043809,True,titanic,With Fine-Tuning
bayesian_neat_ft_final_v1_titanic,eeb46917-f3f4-4c3f-aaba-d39a2fbe3cc3,0.75,0.0,0.0,True,0.0001,0.5316444635391235,0.5538535714149475,0:35:49.489197,normal,118,17,42,14,0.6936194977033001,77.48091603053436,0.790346028765427,0.7748091603053435,0.7648930305642706,0.14226082418855132,False,titanic,Without Fine-Tuning
